id,title,price,condition,condition_int
19664,Hhahhshushsvshsiiduhs,30000,new,1
19665,Sandal Suede Sandal Wanita Size 40 Hitam,30000,new,1
19748,Atasan Anak Model Skrng ,45000,new,1
19791,Bde Di Jual Mangga  ,30000,new,1
19872,Kemeja Retro Cewe,35000,new,1
19873,Dres Poppy Buat Ank Cewe,45000,new,1
20000,HIJAB INSTAN WANITA NURJANNAH CERUTY  ,45000,new,1
20010,PROMO HIJAB WANITA BERGO PLISKET MARYAM HYGET ,30000,new,1
20373,Baju Kaos Wanita Secound,15000,enough,3
20384,Kebaya Murah Wanita,25000,enough,3
20411,Daster Arab Zemma|Reseting Depan Busui,45000,new,1
20412,ATASAN WANITA BLOUSE DENA MOSSCREPE IMFS-377,40000,new,1
20488,Boneka Mirip Berby,15000,new,1
20800,Tas Slempang Wanita cantik,28900,new,1
20801,Tas Selempang Wanita,20000,new,1
20802,Tas Wanita Kekinian,19500,new,1
20803,Tas Selempang Wanita Kekinian,20500,new,1
21366,Kerudung Wanita Terbaru ,25000,new,1
21429,Di Jual 20k Masi Bagus,20000,new,1
21553,Sholat Yahhhhhhhhhhh,0,new,1
21689,Ddddddtffddddfff,51,new,1
21703,Baju Sekolah.. Bekas Sangat Nyaman,1000,enough,3
21718,Yuk Yang Minat Ikutan.bisa Masukin Kode 516212 ,1000,new,1
21738,Paling Bagus Keren,1000,new,1
21761,Ml Nih Bos Ahahah Slemek Entod,2000,new,1
21873,Baju Tidur Atasan Perempuan,30000,enough,3
21941,di jual murah yooo,20000,new,1
22017,"Produk Viral ,2022",35000,new,1
22068,Hamster Cambel murah Meriah,15000,new,1
22141,Celana Wanita SML,15,new,1
22145,Yok Buruan Gays Shopee,255,new,1
22267,Jepit Rambut Mutiara Dan jepit Rambut Butiara Gold,7500,new,1
22360,Kaos Open Bo Bhan Catton Combat,45000,new,1
22720,Baju Bekas X Ada Yg Minat,30000,enough,3
22931,Gelang Tangan Baja Putih,35000,enough,3
24059,Kalung Bandul Kekinian,25000,new,1
24882,Sandal Wanita Terbaru,25000,new,1
25002,Kalung Emas Titanium,35000,new,1
26290,Obral Sandal Murah,10000,new,1
26556,Kemeja Denim KPOP,39000,new,1
26946,Masker Komedo Murah Meriah,5000,new,1
27683,pelindung stop kontak,20000,new,1
27701,Dress Muda Red Untuk Remaja,40000,new,1
27725,Dress Gamis Muslima,26000,new,1
27726,Pakaian Wanita ( Fashion ),45000,new,1
27999,Preloved Atasan Wanita ,21000,enough,3
28000,Preloved Atasan Kemeja Tunik/cardigan ,41300,enough,3
28001,Preloved Thrift Atasan Wanita ,21000,enough,3
28002,Preloved Thrift Atasan Wanita ,17500,enough,3
28003,Preloved Thrift Atasan Wanita ,31500,new,1
28004,Preloved Thrift Atasan Wanita ,21000,new,1
28005,Preloved Thrift Atasan Wanita ,33600,new,1
28006,Preloved Thrift Dress Wanita ,24500,enough,3
28007,Preloved Thrift Atasan Wanita ,24500,new,1
28008,Preloved Thrift Atasan Wanita ,19600,enough,3
28009,Preloved Thrift Atasan Wanita ,24500,enough,3
28010,Celana Tebal Preloved Thrift,28000,enough,3
28011,Preloved Thrift Cardigan  Wanita ,31500,enough,3
28012,Preloved Thrift Kebaya Wanita ,42000,enough,3
28013,Preloved Thrift Atasan Wanita ,22400,enough,3
28014,Preloved Thrift Dress Wanita ,31500,new,1
28015,Preloved Thrift Dress Wanita ,33600,new,1
28016,Preloved Thrift Dress Wanita ,38500,new,1
28017,Preloved Thrift Atasan Wanita ,21000,new,1
28018,Preloved Thrift Celana Wanita ,24500,new,1
28019,Preloved Thrift Atasan Wanita ,21000,enough,3
28020,Preloved Thrift Dress Wanita ,38500,enough,3
28021,Preloved Thrift Atasan Wanita ,28000,new,1
28022,Preloved Thrift dress Wanita ,38500,enough,3
28023,Preloved Thrift Dress Wanita ,40600,new,1
28025,Preloved Thrift Celana Wanita ,31500,enough,3
28026,Preloved Thrift Celana  Wanita ,19600,new,1
28895,Ciput serut Risty tagor,4000,new,1
29131,Sandal sendal jepit motif,15000,new,1
29290,Baju cewe,25000,new,1
29432,Baju wanita daster santai,555,new,1
29481,Cardigan wanita,45000,new,1
